H,PL,AL,FL,MF
161.544,10.43,16.36,21.6,F
176,20,26,27,M
180,20,30,22,M
176,12,28,15,M
181,20,25,28,M
164,6,12,8,M
166,16,28,24,M
172,10,30,15,M
176,18,27,25,M
147.3,15.3,21,21.4,F
153,18,25,24,M
160,17.27,40,28,M
132,15.5,25.5,21,F
161.54,17,26,22,F
175,19,27,25,M
167,19,23.5,23,M
161.1,17.3,24.1,24.2,F
155.4,17,23,24.2,M
168,19,81,24.5,M
166,18.8,81,24.4,M
157,16.5,77,22.5,F
152,16.4,75,24,F
165,19,79,25.6,M
168,18.5,26,26,M
167.64,18,24,25,M
157.48,18,23,24,F
174,19,27,24,M
170,19,25,27,F
173,18,24,24,M
172,18,24,24,M
183,19,25,24,M
181,19.5,28.5,28,M
176,15,30,20,M
161.54,15.5,23,19.5,F
173,18.5,26,21.5,M
178,20,27.9,26.4,M
176,19.8,27.6,26.6,M
175,19.5,27.2,26,M
180,20.2,28,26.8,M
182,20.8,28.4,27.5,M
181,21,28.3,26.9,M
183,21.2,28.7,27.9,M
180,18,24,23,M
152,16,22,21.5,F
144,15,19.5,20,F
151,7,15,12,F
170,18,22,24,F
152,17,21,24,F
170,18,27,27,M
165,18.4,26.5,26.2,M
171,21,29,27.3,M
165,20,28,26,M
162,19,26,25.7,F
175,23,32,27.9,M
180,25,33,28.3,M
155,17,26,24.1,F
169,18,26,25,F
171,16,30,20,M
158,16.6,24,24,F
154,12,30,23,F
161,17,21,22,F
178,19,29,27,M
167,18.5,23.4,24.3,M
167.5,18,22,24.5,M
158,17.5,24.5,23.5,F
164,17,21.88,23,M
182.88,19,29,25,M
150.4,16.1,20.9,23.3,F
166,14,23,18,M
181,19.5,28.5,28,M
156.8,16.4,21.9,23.3,F
139.7,15.4,21.7,21.8,F
175,19,25,25,M
161,17.5,21,22,F